Publication Title,start date,end date,coverage notes,publication type
Mercurius Veridicus Communicating the Best and Truest Intelligence,1681-01-07,1681-01-07,"Newspaper; London, England",serial
Mercurius Veridicus or True Informations,1645-07-05,1645-12-30,"Newsbook; London, England",serial
Messieurs les Directeurs de la Compagnie des Indes Declarent Qu'ils Vendront,1785-01-01,1785-12-31,"Monograph; London, England",monograph
Metrapolitan Nuncio,1649-05-30,1649-06-06,"Newsbook; London, England",serial
Microcosm,1757-03-17,1757-03-24,"Serial; London, England",serial
Middlesex Journal and Evening Advertiser,1773-11-27,1776-09-12,"Newspaper; London, England",serial
Middlesex Journal and London Evening Post,1784-03-27,1784-03-27,"Newspaper; London, England",serial
Middlesex Journal or Chronicle of Liberty,1769-04-04,1772-06-27,"Newspaper; London, England",serial
Middlesex Journal or Universal Evening Post,1772-06-30,1773-11-18,"Newspaper; London, England",serial
Military Scribe,1644-02-20,1644-03-26,"Newsbook; London, England",serial
Miller's London Mercury or Weekly Register of News,1771-08-03,1771-11-30,"Newspaper; London, England",serial
Millitary Actions of Europe,1646-10-27,1646-10-27,"Newsbook; London, England",serial
Mirror,1779-01-23,1780-05-27,"Serial; Edinburgh, Scotland",serial
Mirror of the Times,1797-12-30,1799-11-23,"Newspaper; London, England",serial
Mirrour,1719-03-12,1719-04-16,"Serial; London, England",serial
Miscellany,1732-12-16,1732-12-23,"Serial; London, England",serial
Mist's Weekly Journal,1725-05-01,1728-09-21,"Newspaper; London, England",serial
Mistris Parliament Brought to Bed of a Monstrous Childe of Reformation,1648-01-01,1648-12-31,"Pamphlet; London, England",
Mistris Parliament Presented in Her Bed,1648-01-01,1648-12-31,"Pamphlet; London, England",
Mock-Press or The Encounter of Harry Lungs and Jasper Hem,1681-01-07,1681-01-07,"Broadside; London, England",serial
Moderate Impartially Communicating Martial Affaires,1648-06-29,1649-01-16,"Newsbook; London, England",serial
Moderate Intelligencer (1645),1645-02-27,1649-12-28,"Newsbook; London, England",serial
Moderate Intelligencer (1682),1682-08-23,1682-09-28,"Newspaper; London, England",serial
Moderate Mercury,1649-06-14,1649-06-14,"Newsbook; London, England",serial
Moderate Occurrences,1653-05-17,1653-05-17,"Newsbook; London, England",serial
Moderation Justice and Manners of the Review,1706-01-01,1706-12-31,"Pamphlet; London, England",
Moderator (1719),1719-01-01,1719-12-31,"Serial; London, England",serial
Moderator (1721),1721-05-26,1721-06-05,"Serial; London, England",serial
Moderator (1763),1763-11-19,1763-11-19,"Serial; London, England",serial
Moderator's Reasons Against the Peerage Bill,1719-01-01,1719-12-31,"Pamphlet; London, England",
Modern History or A Monethly Account of All Considerable Occurrences,1687-10-01,1688-07-01,"Serial; London, England",serial
Modern Intelligencer,1651-08-26,1651-08-26,"Newsbook; London, England",serial
Modern Whigs and Rigid Dissenters,1711-12-31,1711-12-31,"Pamphlet; London, England",
Modest Narrative of Intelligence,1649-06-16,1649-06-16,"Newsbook; London, England",serial
Monitor (1714),1714-05-01,1714-05-20,"Serial; London, England",serial
Monitor (1724),1724-08-14,1724-08-24,"Serial; London, England",serial
Monitor or British Freeholder (Annual Cumulation),1755-08-09,1756-06-26,"Serial; London, England",serial
Monitor or the British Freeholder,1755-08-09,1762-12-25,"Serial; London, England",serial
Monthly Account of the Land Bank,1695-08-01,1695-08-31,"Serial; London, England",serial
Monthly Chronicle (1728),1729-01-01,1731-12-31,"Serial; London, England",serial
More Fresh News from Canada Carleton's Defeat and Arnold's Success,1775-11-03,1775-11-03,"Broadside; New York, United States",serial
More Newes from the Palatinate the Second Time Imprinted June the 5,1622-06-05,1622-06-05,"Newsbook; London, England",serial
Morning Advertiser (1794),1794-02-08,1799-12-10,"Newspaper; London, England",serial
Morning Chronicle,1790-12-07,1800-12-31,"Newspaper; London, England",serial
Morning Chronicle and London Advertiser,1770-12-29,1789-03-28,"Newspaper; London, England",serial
Morning Herald,1786-01-02,1800-12-31,"Newspaper; London, England",serial
Morning Herald and Daily Advertiser,1780-11-01,1785-12-31,"Newspaper; London, England",serial
Morning Post,1792-12-17,1794-06-30,"Newspaper; London, England",serial
Morning Post and Daily Advertiser,1773-02-12,1792-12-15,"Newspaper; London, England",serial
Morning Post and Fashionable World,1794-07-01,1797-09-30,"Newspaper; London, England",serial
Morning Post and Gazetteer,1797-10-02,1800-12-31,"Newspaper; London, England",serial
Morning Star (1789),1789-04-27,1789-10-03,"Newspaper; London, England",serial
Mr Aislabie's Second Speech,1721-07-20,1721-07-20,"Pamphlet; London, England",
Mr Bagshaw's Speech in Parliament February the Ninth 1640,1641-02-09,1641-02-09,"Pamphlet; London, England",
Mr Gerees Case of Conscience Sifted,1648-01-01,1648-12-31,"Monograph; London, England",monograph
Mr Hides Argument before the Lords,1641-04-01,1641-04-30,"Pamphlet; London, England",
Mr Speakers Speech before the King in the Lords,1641-07-05,1641-07-05,"Pamphlet; London, England",
Mr Speakers Speech with His Majesties Speech to Both Houses of Parliament,1641-06-22,1641-06-22,"Pamphlet; London, England",
Mr Thomas Pury Alderman of Glocester His Speech,1641-06-11,1641-06-11,"Pamphlet; London, England",
Mr. Speakers Speech before the King in Parliament,1641-07-03,1641-07-03,"Pamphlet; London, England",
Mrs Parliament Her Invitation of Mrs London,1648-05-29,1648-05-29,"Pamphlet; London, England",
Names of Those Gentlemen Who Have Subscribed the Articles,1774-01-01,1774-12-31,"Broadside; Chester, England",serial
Narrative or The Delightful and Melancholy History of Leucippe,1719-11-12,1719-11-12,"Serial; London, England",serial
New Dialogue Betwixt Heraclitus and Towzer Concerning the Times,1681-01-07,1681-01-07,"Broadside; London, England",serial
New England Courant,1721-08-07,1723-09-09,"Newspaper; Boston, United States",serial
New Mercury Called Mercurius Problematicus,1644-01-01,1644-12-31,"Pamphlet; London, England",
New Morning Post or General Advertiser,1776-11-12,1776-12-14,"Newspaper; London, England",serial
New News Book or Occurrences Forreign and Domestick,1681-04-23,1681-04-23,"Newspaper; London, England",serial
New News Strange News,1648-01-01,1648-12-31,"Newsbook; London, England",serial
New State of Europe Both As to Publick Transactions and Learning,1701-05-23,1701-07-26,"Newspaper; London, England",serial
New State of Europe or A True Account of Publick Transactions and Learning,1701-09-20,1702-01-20,"Newspaper; London, England",serial
New Weekly Chronicle or Universal Journal,1758-04-08,1758-04-08,"Newspaper; London, England",serial
New York Gazette and Weekly Mercury,1775-11-13,1775-11-13,"Newspaper; New York, United States",serial
New York November 13th 1775 Yesterday Arrived an Express from Our Army in Canada,1775-11-13,1775-11-13,"Broadside; London, England",serial
Newcastle Chronicle,1796-12-17,1797-07-01,"Newspaper; Newcastle Upon Tyne, England",serial
Newcastle Courant,1724-07-18,1725-04-24,"Newspaper; Newcastle Upon Tyne, England",serial
Newcastle Journal or General Advertiser,1776-02-10,1776-02-10,"Newspaper; Newcastle Upon Tyne, England",serial
Newes from France,1621-10-24,1621-10-24,"Pamphlet; London, England",
Newes from Poland,1620-01-01,1620-12-31,"Newsbook; London, England",serial
Newes from the Palatinate,1622-10-18,1622-10-18,"Newsbook; London, England",serial
Newes out of Holland Concerning Barnevelt and His Fellow Prisoners,1619-01-01,1619-12-31,"Pamphlet; London, England",
Newes Published for Satisfaction and Information of the People,1663-09-03,1665-12-28,"Newspaper; London, England",serial
News from Parnassus,1681-01-27,1681-01-27,"Newspaper; London, England",serial
News-Letter (1716),1716-01-07,1716-03-03,"Newspaper; London, England",serial
Night Post,1713-01-15,1713-01-15,"Newspaper; London, England",serial
Noon Gazette and Daily Spy,1781-12-10,1781-12-26,"Newspaper; London, England",serial
Norfolk Chronicle or The Norwich Gazette,1795-05-23,1800-05-31,"Newspaper; Norwich, England",serial
Norfolk Congress,1728-11-01,1728-11-30,"Pamphlet; London, England",
North Briton (1762),1762-06-05,1763-11-12,"Serial; London, England",serial
North Briton (1763),1763-10-15,1764-01-21,"Serial; London, England",serial
North Briton (1768: Annual),1763-11-12,1771-05-11,"Serial; London, England",serial
North Briton (1769: Reprint),1762-06-05,1763-11-12,"Serial; London, England",serial
Northern Star,1793-05-22,1793-05-22,"Newspaper; Belfast, Ireland",serial
Norwich Gazette,1741-06-13,1742-05-29,"Newspaper; Norwich, England",serial
Norwich Gazette or The Loyal Packet,1712-01-19,1712-01-26,"Newspaper; Norwich, England",serial
Norwich Mercury,1757-07-09,1757-07-09,"Newspaper; Norwich, England",serial
Novemb 26 Numb 5 The Proceedings of Bethelem Gabor in Hungary,1623-10-26,1623-10-26,"Newsbook; London, England",serial
Observations,1654-04-04,1654-06-27,"Newsbook; London, England",serial
Observator (1702),1702-04-01,1712-07-26,"Serial; London, England",serial
Observator (1715),1715-02-25,1715-02-28,"Serial; London, England",serial
Observator (1718),1718-02-10,1718-03-17,"Serial; London, England",serial
Observator (1724),1725-01-18,1725-01-21,"Serial; London, England",serial
Observator in Dialogue,1681-04-13,1684-01-09,"Serial; London, England",serial
Observator Observ'd,1681-05-06,1681-05-06,"Serial; London, England",serial
Observator Reviv'd,1707-12-05,1707-12-05,"Serial; London, England",serial
Observator with a Summary of Intelligence,1654-10-31,1654-10-31,"Newsbook; London, England",serial
Occasional Respondent,1764-04-12,1764-04-12,"Serial; London, England",serial
Occasional Writer,1762-06-26,1762-06-26,"Serial; London, England",serial
Occasionalist,1768-08-12,1768-11-11,"Serial; London, England",serial
Occurrences of Certain Speciall and Remarkable Passsages in Parliament,1644-02-02,1644-04-05,"Newsbook; London, England",serial
Old Common Sense or The Englishman's Journal,1737-11-26,1738-08-26,"Newspaper; London, England",serial
Old England,1747-07-11,1751-03-30,"Newspaper; London, England",serial
Old England or The Broadbottom Journal,1746-10-04,1747-07-04,"Newspaper; London, England",serial
Old England or The Constitutional Journal,1743-06-18,1746-09-27,"Newspaper; London, England",serial
Old England or The National Gazette,1751-04-06,1753-01-27,"Newspaper; London, England",serial
Old England's Journal,1753-02-24,1753-04-07,"Newspaper; London, England",serial
Old Maid,1755-11-15,1756-07-24,"Serial; London, England",serial
Old Mould to Cast New Lawes By,1643-01-01,1643-12-31,"Pamphlet; Oxford, England",
Old Post-Master,1696-06-20,1696-07-18,"Newspaper; London, England",serial
Old Whig,1719-03-19,1719-04-02,"Serial; London, England",serial
Old Whig or The Consistent Protestant,1735-03-13,1738-03-30,"Serial; London, England",serial
Olla Podrida,1787-03-17,1788-01-12,"Serial; Oxford, England",serial
Omnia Comesta a Bello or An Answer out of the West,1667-01-01,1667-12-31,"Pamphlet; London, England",
Oprechte Haerlemsche Courant,1681-01-16,1795-09-17,"Newspaper; Haarlem, Netherlands",serial
Oracle,1790-06-03,1794-02-28,"Newspaper; London, England",serial
Oracle and Daily Advertiser,1798-09-10,1800-12-31,"Newspaper; London, England",serial
Oracle and Public Advertiser,1794-03-01,1798-09-08,"Newspaper; London, England",serial
Oracle Bell's New World,1789-06-01,1789-12-31,"Newspaper; London, England",serial
Orange Gazette,1688-12-31,1689-03-05,"Newspaper; London, England",serial
Order and Forme for Church Government,1641-07-16,1641-07-16,"Pamphlet; London, England",
Orders to Be Observed on Wednesday the 11th of October,1727-10-11,1727-10-11,"Pamphlet; London, England",
Original London Post or Heathcote's Intelligencer,1723-06-12,1724-08-28,"Newspaper; London, England",serial
Original Star and Grand Weekly Advertiser,1788-05-07,1788-05-07,"Newspaper; London, England",serial
Original Weekly Journal,1715-11-19,1720-07-09,"Newspaper; London, England",serial
Orphan Reviv'd or Powell's Weekly Journal,1719-01-10,1720-03-05,"Serial; London, England",serial
Owen's Weekly Chronicle and Westminster Journal,1765-05-04,1770-06-23,"Newspaper; London, England",serial
Owen's Weekly Chronicle or Universal Journal,1758-04-22,1762-10-16,"Newspaper; London, England",serial
Oxford Gazette,1665-11-16,1666-01-25,"Newspaper; London, England",serial
Oxford Mercury and Midland County Chronicle,1796-02-17,1796-02-17,"Newspaper; Oxford, England",serial
Packet of Letters or An Exact Collection of All the Letters,1646-06-26,1646-06-26,"Pamphlet; London, England",
Packets of Letters,1648-05-01,1648-10-31,"Newsbook; London, England",serial
Pacquet of Advice from France,1691-04-06,1691-04-20,"Newspaper; London, England",serial
Pacquet-Boat from Holland and Flanders,1695-07-02,1695-07-11,"Newspaper; London, England",serial
Pacquets of Advice from Rome (Volume 3),1681-01-07,1681-12-16,"Serial; London, England",serial
Pacquets of Advice from Rome (Volume 5),1682-01-06,1683-05-04,"Serial; London, England",serial
Papers Delivered in by the Commissioners of the Kingdom of Scotland at London,1646-01-01,1646-12-31,"Monograph; Edinburgh, Scotland",monograph
Papers from the Scots Quarters,1646-10-14,1646-10-14,"Newsbook; London, England",serial
Parker's General Advertiser and Morning Intelligencer,1782-05-07,1784-11-11,"Newspaper; London, England",serial
Parker's London News or the Impartial Intelligencer,1719-02-18,1725-04-24,"Newspaper; London, England",serial
Parker's Penny Post,1725-04-30,1727-12-29,"Newspaper; London, England",serial
Parliament Kite,1648-06-01,1648-08-10,"Newsbook; London, England",serial
Parliament of Ladies,1648-05-29,1648-05-29,"Pamphlet; London, England",
Parliament Scout Communicating His Intelligence to the Kingdome,1643-06-20,1645-01-23,"Newsbook; London, England",serial
Parliament-Porter,1648-08-28,1648-08-28,"Newsbook; London, England",serial
Parliamentary Intelligencer,1660-03-26,1660-12-24,"Newsbook; London, England",serial
Parliamentary Spy,1769-11-21,1770-05-25,"Serial; London, England",serial
Parliaments Post,1645-09-23,1645-09-30,"Newsbook; London, England",serial
Parliaments Scouts Discovery,1643-06-09,1643-06-09,"Newsbook; London, England",serial
Particular Account of a Terrible and Bloody Engagement between the English and French Fleet,1689-05-08,1689-05-08,"Broadside; London, England",serial
Particular Account of the Fight at Luzara,1702-08-14,1702-08-14,"Broadside; London, England",serial
Particular Advice from the Office of Intelligence,1659-12-27,1659-12-27,"Newsbook; London, England",serial
Particular Relation of the Severall Removes (Continuation of True Intelligence),1644-07-10,1644-07-10,"Newsbook; London, England",serial
Pasquin,1722-11-28,1724-03-27,"Serial; London, England",serial
Passages in Parliament,1642-01-03,1642-01-03,"Pamphlet; London, England",
Patrician,1719-03-21,1719-04-11,"Serial; London, England",serial
Patriot (1714),1714-03-22,1715-01-20,"Serial; London, England",serial
Patriot (1762),1762-06-19,1762-07-17,"Serial; London, England",serial
Patriot and General Advertiser,1789-06-03,1789-10-21,"Newspaper; London, England",serial
Pegasus Being an History of the Most Remarkable Events,1696-06-15,1696-09-11,"Serial; London, England",serial
Pennsylvania Chronicle and Universal Advertiser,1767-03-16,1767-03-16,"Newspaper; Philadelphia, United States",serial
Pennsylvania Gazette,1737-01-27,1750-09-20,"Newspaper; Philadelphia, United States",serial
Pennsylvania Journal and Weekly Advertiser,1773-12-09,1774-10-26,"Newspaper; Philadelphia, United States",serial
Penny London Morning Advertiser,1744-01-06,1744-08-10,"Newspaper; London, England",serial
Penny London Post,1733-09-10,1734-05-31,"Newspaper; London, England",serial
Penny London Post or The Morning Advertiser,1744-08-13,1751-05-01,"Newspaper; London, England",serial
Peoples Ancient and Just Liberties Asserted,1670-01-01,1670-12-31,"Monograph; London, England",monograph
Perfect Account of the Daily Intelligence from the Armies,1651-01-22,1652-12-31,"Newsbook; London, England",serial
Perfect and More Particular Relation of the Proceedings of the Army in Ireland,1649-11-17,1649-11-17,"Newsbook; London, England",serial
Perfect Declaration of the Proceedings in Parliament,1645-05-17,1646-01-24,"Newsbook; London, England",serial
Perfect Diurnal or the Daily Proceedings in Parliament,1660-03-01,1660-03-03,"Newsbook; London, England",serial
Perfect Diurnall of Passages in Parliament,1649-07-16,1649-07-16,"Newsbook; London, England",serial
Perfect Diurnall of Some Passages and Proceedings,1650-03-11,1655-05-07,"Newsbook; London, England",serial
Perfect Diurnall of Some Passages in Parliament (1643),1643-06-26,1649-07-30,"Newsbook; London, England",serial
Perfect Diurnall of Some Passages of Parliament (1650),1650-07-15,1650-07-15,"Newsbook; London, England",serial
Perfect Diurnall of the Passages in Parliament (1642: Coles),1642-09-12,1643-06-12,"Newsbook; London, England",serial
Perfect Diurnall of the Passages in Parliament (1642: Cooke and Wood),1642-08-15,1643-05-29,"Newsbook; London, England",serial
Perfect Diurnall of the Passages in Parliament (1642: T. Cook),1642-08-01,1642-08-01,"Newsbook; London, England",serial
Perfect Diurnall of the Passages in Parliament (1642: W. Cooke),1641-02-14,1642-08-29,"Newsbook; London, England",serial
Perfect Occurrences of Both Houses of Parliament and Martiall Affairs,1646-03-13,1646-12-25,"Newsbook; London, England",serial
Perfect Occurrences of Every Dayes Journall in Parliament,1647-01-08,1649-10-05,"Newsbook; London, England",serial
Perfect Occurrences of Parliament,1646-02-06,1646-03-06,"Newsbook; London, England",serial
Perfect Occurrences of Parliament and Chief Collections of Letters,1644-07-12,1646-01-16,"Newsbook; London, England",serial
Perfect Occurrences of the Most Remarkable Passages in Parliament,1660-05-11,1660-05-11,"Newspaper; London, England",serial
Perfect Passages of Each Dayes Proceedings in Parliament,1644-10-16,1646-02-18,"Newsbook; London, England",serial
Perfect Passages of Every Daies Intelligence,1650-07-05,1652-11-12,"Newsbook; London, England",serial
Perfect Proceedings of State Affaires,1655-02-22,1655-05-17,"Newsbook; London, England",serial
Perfect Summary of Chiefe Passages in Parliament,1647-08-02,1647-08-02,"Newsbook; London, England",serial
Perfect Summary of Exact Passages in Parliament,1649-08-06,1649-08-06,"Newsbook; London, England",serial
Perfect Weekly Account (1647),1647-08-04,1647-11-30,"Newsbook; London, England",serial
Perfect Weekly Account (1648),1648-05-03,1648-12-13,"Newsbook; London, England",serial
Perfect Weekly Account (1650),1650-07-10,1650-07-10,"Newsbook; London, England",serial
Petition of Both Houses of Parliament,1642-03-26,1642-03-26,"Pamphlet; London, England",
Philosophical Observator,1695-01-22,1695-01-22,"Serial; London, England",serial
Plain Dealer (1712),1712-04-12,1712-08-02,"Serial; London, England",serial
Plain Dealer (1724),1724-03-23,1725-05-07,"Serial; London, England",serial
Plebeian,1719-01-01,1719-12-31,"Serial; London, England",serial
Plymouth Weekly Journal Or General Post,1718-08-29,1723-12-27,"Newspaper; Plymouth, England",serial
Politick Spy,1701-07-30,1701-08-20,"Newspaper; London, England",serial
Poor Robins Intelligence,1676-03-01,1677-11-13,"Serial; London, England",serial
Poor Robins Intelligence or News from City and Country,1691-07-08,1691-07-17,"Serial; London, England",serial
Poor Robins Intelligence Revived,1679-11-26,1680-03-10,"Serial; London, England",serial
Poor Robins Memoirs,1677-12-10,1678-03-24,"Serial; London, England",serial
Poor Robins Prophesies,1677-05-23,1677-05-23,"Broadside; London, England",serial
Popish Mass Display'd,1681-04-20,1681-04-27,"Serial; London, England",serial
Porcupine,1800-10-30,1800-12-31,"Newspaper; London, England",serial
Post Angel,1701-01-01,1701-01-31,"Serial; London, England",serial
Post Angel or Universal Entertainment,1702-03-01,1702-09-30,"Serial; London, England",serial
Post Boy,1695-06-01,1695-06-15,"Newspaper; London, England",serial
Post Boy and Historical Account,1695-07-03,1728-06-13,"Newspaper; London, England",serial
Post Boy With Foreign and Domestick News,1695-06-19,1695-09-21,"Newspaper; London, England",serial
Post Man and the Historical Account,1695-10-22,1729-02-13,"Newspaper; London, England",serial
Post-Master or Loyal Mercury,1720-09-02,1725-04-09,"Newspaper; London, England",serial
Prater,1756-03-13,1756-11-06,"Serial; London, England",serial
Present State of Europe or the Historical and Political Mercury,1691-01-01,1692-12-01,"Serial; London, England",serial
Present State of Europe or the Historical and Political Monthly Mercury,1691-04-01,1691-04-01,"Serial; London, England",serial
Presentment of the Grand-Jury For the County of Middlesex,1728-11-28,1728-11-28,"Pamphlet; London, England",
Presentments of the Grand Jury For the County of Middlesex (1723),1728-11-28,1728-11-28,"Broadside; London, England",serial
Pretended High Court of Justice,1660-01-01,1660-12-31,"Pamphlet; London, England",
Prezzi Correnti di Livorno,1796-01-01,1796-12-31,"Form; London, England",serial
Prezzi Correnti di Livorno (Giacomo Duclou),1797-04-28,1798-06-01,"Form; London, England",serial
Prezzo Corrente Della Mercanzie D'europa/Del Levante Per/in Smirne,1786-08-18,1786-08-18,"Form; London, England",serial
Price Current of European/Levant Merchandise At Smyrna,1785-06-18,1788-12-13,"Form; London, England",serial
Price Current of Goods Exported/Imported,1781-01-01,1799-08-12,"Form; London, England",serial
Price Current of Goods Inward/Levant Merchandise At Smirna,1785-01-01,1796-02-15,"Form; London, England",serial
Price Current of Leghorn,1798-08-01,1798-08-31,"Form; London, England",serial
Price Current of Leghorn (James Duclou),1798-02-01,1799-11-15,"Form; London, England",serial
Price Current of the Principal Articles Imported from America in Our Currency & British Sterling Money,1798-01-31,1798-01-31,"Broadside; Hamburg, Germany",serial
Price Current of Tommaso Panton e Figlio (James Duclou),1799-08-15,1799-08-15,"Form; London, England",serial
Prices Corrent of Thomas Panton & Son (James Duclou),1798-06-01,1798-07-15,"Form; London, England",serial
Prices Current (Miscellaneous Manuscript Material),1781-01-01,1799-12-03,"Manuscript; London, England",serial
Prices Current (Miscellaneous Printed Material),1682-11-15,1799-12-02,"Monograph; London, England",monograph
Prices of Foreign Corn and Seeds (Wilson),1781-01-01,1796-12-31,"Form; London, England",serial
Prices of Foreign Grain (Browne Byles & Browne),1796-01-01,1799-11-04,"Form; London, England",serial
Prices of Merchandise in London January 3 1682,1682-01-03,1682-01-03,"Broadside; London, England",serial
Prices of Needles and Fish Hooks (Thomas Chillingworth),1799-01-01,1799-12-31,"Broadside; Birmingham, England",serial
Prices of Sugars (Eamer),1796-01-03,1796-05-20,"Form; London, England",serial
Prices of Sugars (Vetch),1781-01-01,1799-05-03,"Form; London, England",serial
Prices of Sundry Goods,1785-01-12,1785-01-12,"Broadside; London, England",serial
Prince's London Price Current,1796-01-01,1799-12-27,"Newspaper; London, England",serial
Prises of Merchandise in London March 25 1674,1674-03-25,1674-03-25,"Broadside; London, England",serial
Prix Courant des Marchandises d'Europe/du Levant Pour/a Smyrne,1788-07-04,1788-10-31,"Form; London, England",serial
Prix Courant des Marchandises de Bengalle Vendues par la Compagnie des Indes,1785-01-01,1785-12-31,"Monograph; London, England",monograph
Prix Courant des Marchandises de La Cote d'Anjenjo de Malabar & de Surate,1785-01-01,1785-12-31,"Pamphlet; London, England",
Prix Courant des Marchandises de La Cote Vendues par la Compagnie des Indes,1785-01-01,1785-12-31,"Pamphlet; London, England",
Prix Courant di Livorne (Jacques Duclou),1797-06-19,1798-10-15,"Form; London, England",serial
Proceedings at the Sessions of the Peace and Oyer and Terminer for the City of London,1728-12-04,1728-12-04,"Pamphlet; London, England",
Proceedings of the Army under the Command of Sir Thomas Fairfax,1645-07-11,1645-07-11,"Newsbook; London, England",serial
Proceedings Votes Resolves and Acts of the Late Half-Quarter Parliament,1659-01-27,1659-01-27,"Pamphlet; London, England",
Proclamation Declaring His Maiesties Pleasure Concerning the Dissolving of the Present Convention of Parliament,1622-01-06,1622-01-06,"Pamphlet; London, England",
Proclamation Made by the High and Mighty Fredericke by the Grace of God King of Bohemia,1620-01-01,1620-12-31,"Pamphlet; London, England",
Prompter (1734),1734-11-12,1736-06-29,"Serial; London, England",serial
Prompter (1789),1789-10-24,1789-12-10,"Serial; London, England",serial
Proposals for Graving and Printing the Gallery of Raphael,1711-01-01,1711-12-31,"Broadside; London, England",serial
Propositions for Peace by an Union of Interests,1648-01-01,1648-12-31,"Pamphlet; London, England",
Protestant (Domestick) Intelligence or News Both from City and Country,1680-01-16,1681-04-15,"Newspaper; London, England",serial
Protestant Advocate,1724-12-21,1724-12-21,"Serial; London, England",serial
Protestant Courant Imparting News Foreign and Domestick,1682-04-24,1682-05-10,"Newspaper; London, England",serial
Protestant Martyrs or The Bloody Assizes,1688-01-01,1688-12-31,"Pamphlet; London, England",
Protestant Mercury Occurrences Foreign and Domestick,1698-01-05,1700-04-10,"Newspaper; London, England",serial
Protestant Observator or Democritus Flens in a Dialogue,1681-11-19,1681-12-24,"Serial; London, England",serial
Protestant Oxford Intelligence or Occurences Forraign and Domestick,1681-03-10,1681-03-28,"Newspaper; London, England",serial
Protestant Post-Boy,1711-11-15,1712-06-21,"Newspaper; London, England",serial
Protester,1753-06-02,1753-09-15,"Serial; London, England",serial
Public Advertiser,1752-12-01,1793-12-24,"Newspaper; London, England",serial
Public Advertiser or Political and Literary Diary,1794-01-14,1794-02-28,"Newspaper; London, England",serial
Public Ledger,1761-11-03,1798-02-20,"Newspaper; London, England",serial
Public Ledger or The Daily Register of Commerce and Intelligence,1760-01-12,1761-11-02,"Newspaper; London, England",serial
Public Register or The Freeman's Journal,1764-04-07,1784-04-20,"Newspaper; Dublin, Ireland",serial
Publication of His Maties Edict and Severe Censure Against Private Combats and Combatants,1614-02-04,1614-02-04,"Monograph; London, England",monograph
Publick Intelligence,1665-11-28,1665-11-28,"Newspaper; London, England",serial
Publick Intelligencer (1655),1655-10-01,1660-03-26,"Newsbook; London, England",serial
Publick Intelligencer (1660),1660-05-14,1660-06-18,"Newsbook; London, England",serial
Publick Occurrences Truely Stated,1688-02-21,1688-09-28,"Newspaper; London, England",serial
Publick Register or The Weekly Magazine,1741-01-10,1741-03-21,"Serial; London, England",serial
Publisher,1745-01-01,1745-12-31,"Serial; London, England",serial
Quadrille to Perfection As Play'd at Soissons,1728-01-01,1728-12-31,"Pamphlet; London, England",
Racing Calendar,1774-04-13,1784-11-11,"Serial; London, England",serial
Rambler (Collected Issues: 1753),1750-03-20,1752-01-21,"Serial; London, England",serial
Rayner's London Morning Advertiser,1742-08-19,1742-12-15,"Newspaper; London, England",serial
Read's Weekly Journal Or British Gazetteer,1730-08-15,1761-05-02,"Newspaper; London, England",serial
Reading Mercury and Oxford Gazette,1777-12-22,1778-07-20,"Newspaper; Reading, England",serial
Reasons Humbly Offered to Prohibit English Broad Pieces,1724-01-01,1724-12-31,"Broadside; London, England",serial
Reasons Which Induc'd Her Majesty to Create the Right Honourable Robert Harley,1711-05-04,1711-05-04,"Pamphlet; London, England",
Reconciler,1713-04-30,1713-06-19,"Serial; London, England",serial
Rehearsal of Observator,1706-01-05,1708-04-07,"Serial; London, England",serial
Relation of the Voyage of His Catholick Majesty King Charles Iii,1705-10-10,1705-10-10,"Pamphlet; London, England",
Relation of What Passed during the Expedition to Rio De Janeiro,1711-06-03,1711-06-03,"Pamphlet; London, England",
Remarkable Passages Impartially Relating the Proceedings,1643-11-01,1643-11-01,"Newsbook; London, England",serial
Remembrancer (1747),1748-03-05,1751-06-01,"Newspaper; London, England; coverage from 05/03/1748-13/04/1751 and 27/04/1751-01/06/1751",serial
Remembrancer (1748),1747-12-12,1748-02-27,"Serial; London, England",serial
Remonstrance of His Excellency Thomas Lord Fairfax,1648-11-16,1648-11-16,"Monograph; London, England",monograph
Replication of Master Glyn,1641-04-13,1641-04-13,"Pamphlet; London, England",
Report of the State of the Blue Coat Hospital in Chester,1780-05-01,1780-05-01,"Serial; Chester, England",serial
Report of the State of the General Infirmary At Chestor,1777-03-25,1778-03-25,"Serial; London, England",serial
Resolution of the Right Honourable the Lords Spiritual and Temporal and the Commons,1739-11-23,1739-11-23,"Pamphlet; London, England",
Resolution of the States General United Provinces,1702-03-25,1702-03-25,"Pamphlet; London, England",
Respondents Case,1724-04-16,1724-04-16,"Pamphlet; London, England",
Retrospector,1754-12-31,1755-01-07,"Serial; London, England",serial
Review (1712),1712-08-16,1712-10-21,"Serial; London, England",serial
Review and Sunday Advertiser,1791-08-14,1795-03-22,"Newspaper; London, England",serial
Review of the Affairs of France,1704-04-01,1705-12-27,"Newspaper; London, England",serial
Review of the Affairs of France (Appendix),1704-02-01,1705-01-01,"Serial; London, England",serial
Review of the State of the British Nation,1711-07-26,1712-07-03,"Serial; London, England",serial
Review of the State of the British Nation (Cumulation),1707-02-11,1711-03-22,"Serial; London, England",serial
Review of the State of the English Nation (Cumulation),1706-01-01,1707-02-06,"Serial; London, England",serial
Reviewer Reviewed Or Some Remarks Upon the Review,1705-05-05,1705-05-05,"Pamphlet; London, England",
